,title,price,p_discount,p_code,product_link
0,CH FASHION - 2844 Men Teal Green  Mustard Yellow Colour,397                                             ,60% Off,150598541,https://www.shopclues.com/ch-fashion-2844-men-teal-green-and-mustard-yellow-colourblocked-round-neck-t-shirt-150598541.html
1,LE BOURGEOIS Men's White Polkadot Round Neck T-Shirt,470                                             ,52% Off,133316160,https://www.shopclues.com/le-bourgeois-mens-white-polkadot-round-neck-t-shirt-133316160.html
2,SKYBEN premium quality tshirt with comfort fit and uniq,225                                             ,74% Off,152031699,https://www.shopclues.com/skyben-premium-quality-tshirt-with-comfort-fit-and-unique-design.-152031699.html
3,LE Bourgeois Navy Blue V-Neck Half Sleeve T-Shirt for M,460                                             ,53% Off,101500133,https://www.shopclues.com/le-bourgeois-navy-blue-v-neck-half-sleeve-t-shirt-for-mens.html
4,29K Men Black Round Neck T-Shirt,208                                             ,58% Off,150343301,https://www.shopclues.com/stylesmyth-best-selling-half-sleeeves-t-shirt-for-man-colourblock-printed-tshirt-150343301.html
5,KETEX White Slim Fit Polo T Shirt,198                                             ,60% Off,123994723,https://www.shopclues.com/concepts-white-slim-fit-polo-t-shirt-123994723.html
6,ISHU Printed Men Half Sleeve Round Neck Nylon Black T-s,248                                             ,75% Off,144921077,https://www.shopclues.com/ishu-printed-mens-half-sleeve-round-neck-black-t-shirt-144921077.html
7,Armure Men's Grey Round Neck T-Shirts,176                                             ,55% Off,150502560,https://www.shopclues.com/armure-mens-grey-round-neck-t-shirts-150502560.html
8,Funky Guys Skyblue Round Neck Tshirt For Men,178                                             ,74% Off,143047348,https://www.shopclues.com/funky-guys-skyblue-round-neck-slim-fit-tshirt-143047348.html
9,Are You Vaccinated Black Round Neck T-Shirt For Men,176                                             ,70% Off,152434102,https://www.shopclues.com/dri-fit-round-neck-t-shirt-black-polyester-strachable-152434102.html
10,Stylogue Round Neck Half  Sleeve T-shirt For Men,294                                             ,57% Off,150492191,https://www.shopclues.com/stylogue-round-neck-half-sleeve-t-shirt-for-men-150492191.html
11,Stylogue Round Neck Half  Sleeve T-shirt For Men,274                                             ,72% Off,150492185,https://www.shopclues.com/stylogue-round-neck-half-sleeve-t-shirt-for-men-150492185.html
12,SquarFeet Maroon Polo T-Shirt For Men,284                                             ,43% Off,124985685,https://www.shopclues.com/squarfeet-maroon-polo-tshirt-124985685.html
13,Smiley Sky Blue Round Neck T-Shirt For Men,188                                             ,81% Off,152379987,https://www.shopclues.com/pause-blue-solid-cotton-round-neck-slim-fit-long-sleeve-mens-t-shirt-152379987.html
14,Ceazar Men's Navy Half henley,245                                             ,75% Off,147212326,https://www.shopclues.com/ceazar-mens-navy-half-henley-147212326.html
15,CeazarYellow round polyster,156                                             ,84% Off,147319093,https://www.shopclues.com/ceazaryellow-round-polyster-147319093.html
16,BrainBell Casual Double Shade T-shirt For Men,228                                             ,71% Off,143127435,https://www.shopclues.com/brainbell-casual-double-shade-t-shirt-for-men-143127435.html
17,Concepts Yellow And Black Cotton Printed Tshirt,264                                             ,47% Off,148282392,https://www.shopclues.com/concepts-yellow-and-black-cotton-printed-tshirt-148282392.html
18,Grand Bear Men's Yellow  Cream Round Neck T-Shirt,264                                             ,47% Off,85624145,https://www.shopclues.com/grand-bear-polo-t-shirt-for-men-5.html
19,Outlaws Black-Jonny Neck T-Shirt,258                                             ,58% Off,152262058,https://www.shopclues.com/outlaws-black-jonny-neck-t-shirt-1-year-warranty-152262058.html
20,Texman Mens Printed Black Round Neck,323                                             ,59% Off,150269890,https://www.shopclues.com/texman-mens-printed-black-round-neck-150269890.html
21,SKYBEN premium quality tshirt with comfort fit and uniq,225                                             ,74% Off,152033964,https://www.shopclues.com/skyben-premium-quality-tshirt-with-comfort-fit-and-unique-design.-152033964.html
22,K-TEX Men's Yellow Half Sleeve polo Tshirt,228                                             ,23% Off,124950357,https://www.shopclues.com/funky-guys-mens-yellow-half-sleeve-t-shirt-124950357.html
23,Clothinkhub Men Grey Round Neck Polyester T-Shirt,176                                             ,74% Off,151903942,https://www.shopclues.com/clothinkhub-grey-solid-round-neck-sports-jersey-for-men-151903942.html
24,Fashlook Black Four Line Round Neck T Shirt For Men,248                                             ,75% Off,152052099,https://www.shopclues.com/fashlook-navy-four-line-t-shirt-for-men-152052099.html
25,Outlaws Men White Polo Collar Neck T-Shirt,248                                             ,60% Off,152294062,https://www.shopclues.com/outlaws-mens-white-jonny-neck-t-shirt-152294062.html
26,Pause Men Red Solid High Neck T-Shirt,323                                             ,70% Off,147976911,https://www.shopclues.com/pause-red-solid-high-neck-slim-fit-full-sleeve-mens-t-shirt-147976911.html
27,Clothinkhub Neon Green Round Neck Half Sleeve Solid Pol,143                                             ,79% Off,152230626,https://www.shopclues.com/clothinkhub-neon-green-round-neck-half-sleeve-solid-polyester-t-shirt-for-men-152230626.html
